Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_Suma,Trimestre_Año
Buenos Aires,29985,27709,290315,297915,267044,12419,3618689,65821,4609897,2022 3
Capital Federal,5170,5742,34371,67829,51946,28692,1253105,105477,1552332,2022 3
Catamarca,710,3840,3107,5389,5099,3737,50298,2208,74388,2022 3
Chaco,4610,9870,16782,18938,8049,15828,79390,3711,157178,2022 3
Chubut,1090,1444,45707,3094,34682,15309,17563,20024,138913,2022 3
Córdoba,990,11312,153324,111615,70989,27112,650344,13873,1039559,2022 3
Corrientes,670,3865,23427,23948,7776,21706,56950,7107,145449,2022 3
Entre Ríos,1070,5549,47210,46855,18263,32021,102195,16759,269922,2022 3
Formosa,970,3070,23538,19545,6194,5640,17704,5890,82551,2022 3
Jujuy,580,1879,19135,15254,36083,5190,45895,0,124016,2022 3
La Pampa,680,1887,61540,9653,11592,5609,22731,3012,116704,2022 3
La Rioja,180,6890,2842,3375,24219,5331,50390,0,93227,2022 3
Mendoza,1030,2953,44232,21977,48201,17243,150043,4771,290450,2022 3
Misiones,510,3749,36628,20758,12676,19615,80330,835,175101,2022 3
Neuquén,1340,9910,38485,1408,92,67,78713,14858,144873,2022 3
Río Negro,1110,1221,32936,1786,27934,13629,42596,24271,145483,2022 3
Salta,1140,149,32923,71199,5662,1001,85661,6491,204226,2022 3
San Juan,240,2027,30324,11247,22157,678,19221,11619,97513,2022 3
San Luis,600,3070,6563,20813,12061,67438,13,14815,125373,2022 3
Santa Cruz,520,6841,12342,11313,11378,2333,4604,6470,55801,2022 3
Santa Fe,4680,11132,132709,198588,70897,57455,396352,20209,892022,2022 3
Santiago Del Estero,1780,1384,28357,58982,16087,9100,12342,7920,135952,2022 3
Tierra Del Fuego,220,8310,12002,14815,20102,1752,1021,3351,61573,2022 3
Tucumán,390,2047,32571,39018,25214,4348,159600,2800,265988,2022 3
Buenos Aires,30639,28323,295238,307554,273954,129869,3535757,65849,4667183,2022 2
Capital Federal,5170,598,36036,72434,55372,31571,1229254,105607,1536042,2022 2
Catamarca,710,4130,3678,6155,7165,3393,43926,2207,71364,2022 2
Chaco,4610,1047,17603,20109,8391,15974,76271,3708,147713,2022 2
Chubut,1090,1444,45804,31217,3429,14526,15394,20021,132925,2022 2
Córdoba,990,11971,160486,120485,71923,28645,619400,13426,1027326,2022 2
Corrientes,670,3937,24253,24842,8001,21719,55071,7107,145600,2022 2
Entre Ríos,1070,5656,48637,48557,18512,32355,98769,16759,270315,2022 2
Formosa,970,4070,23834,19706,633,5910,16326,5900,77349,2022 2
Jujuy,580,1829,19458,1579,37786,5490,37391,2453,106566,2022 2
La Pampa,680,1887,62546,9842,118,5247,17125,3012,100457,2022 2
La Rioja,180,7280,3179,389,23814,5481,48920,0,89243,2022 2
Mendoza,1030,2954,44961,22557,64138,19543,121366,394,276943,2022 2
Misiones,510,3808,37254,21712,12774,19757,75107,835,171757,2022 2
Neuquén,1340,9990,38826,15066,9205,2039,76982,18717,172165,2022 2
Río Negro,1110,1227,33364,17938,27168,13714,41972,2427,138920,2022 2
Salta,1140,153,33732,72661,6012,1156,81478,6494,202826,2022 2
San Juan,240,2027,30385,11276,24649,3728,16701,11617,100623,2022 2
San Luis,600,3060,6840,21217,11052,67438,13,14815,125035,2022 2
Santa Cruz,520,6841,12348,11369,11885,2454,3592,6440,55449,2022 2
Santa Fe,4680,11757,138534,204381,74133,58114,373888,17584,883071,2022 2
Santiago Del Estero,1780,1401,29581,59931,14606,8830,10672,7920,134721,2022 2
Tierra Del Fuego,220,8310,12052,14828,19968,1712,1006,3351,61447,2022 2
Tucumán,390,2195,34461,43513,23634,4863,145541,2810,257407,2022 2
Buenos Aires,31591,30056,313382,321756,290127,161183,3381049,2628,4531772,2022 1
Capital Federal,5270,5575,39918,7739,61053,43289,1188072,1717,1352633,2022 1
Catamarca,710,4560,4386,7009,8773,3761,35715,2207,67121,2022 1
Chaco,4610,1099,16888,21235,20898,13012,62946,758,141446,2022 1
Chubut,1130,1677,61369,31856,3308,13871,14055,15607,142873,2022 1
Córdoba,1000,12782,165922,126009,73967,34892,577027,13104,1004703,2022 1
Corrientes,670,4029,24563,25665,27077,10452,43631,7094,143181,2022 1
Entre Ríos,1070,5745,50075,4962,42294,21578,81757,1675,209156,2022 1
Formosa,970,4480,24113,6945,6613,7160,15028,5880,71189,2022 1
Jujuy,580,1761,22141,16321,37923,5760,35287,2442,122215,2022 1
La Pampa,3010,2223,62812,9869,12044,525,14400,2833,107716,2022 1
La Rioja,180,7780,3576,4692,23624,5645,45970,0,91467,2022 1
Mendoza,1140,3355,51230,26407,74178,21566,95048,3287,276211,2022 1
Misiones,510,3873,35655,22261,26855,15854,58610,8349,171967,2022 1
Neuquén,1370,1123,39856,15623,11163,2654,71238,7885,150912,2022 1
Río Negro,1160,1383,35565,18859,26926,14144,37729,22652,158418,2022 1
Salta,1140,1725,35576,68246,6313,2214,76838,6489,198541,2022 1
San Juan,260,2269,32356,11914,25144,2088,11916,2465,88412,2022 1
San Luis,610,6430,8287,3837,9802,68612,13,28589,126180,2022 1
Santa Cruz,510,6898,12710,11502,12277,2628,2551,4850,53926,2022 1
Santa Fe,4680,12435,143796,208361,84787,58018,344170,18444,874691,2022 1
Santiago Del Estero,1780,1401,30220,6117,13542,8490,8309,7920,77779,2022 1
Tierra Del Fuego,240,8940,12849,1564,18034,1767,982,2421,46797,2022 1
Tucumán,390,2212,36028,46961,21014,5211,133846,2730,248392,2022 1
Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958,4509157,2021 4
Capital Federal,5630,1695,47133,81899,66135,66755,1147939,0,1417186,2021 4
Catamarca,710,0,6038,7855,9804,3262,29827,2233,59729,2021 4
Chaco,4610,1120,18845,22678,21937,13692,58435,7585,148902,2021 4
Chubut,1260,1294,63698,39568,31175,578,2904,15763,156240,2021 4
Córdoba,1000,2479,184548,130892,76246,41198,538700,12607,987670,2021 4
Corrientes,670,6450,28830,26368,22922,10087,39911,7082,142320,2021 4
Entre Ríos,1070,3024,56043,49636,38295,24068,77290,16583,266009,2021 4
Formosa,840,0,22908,6983,6811,1135,13775,1967,54419,2021 4
Jujuy,580,1750,22446,16793,38134,5640,33421,2324,121088,2021 4
La Pampa,3010,4930,64840,9082,12259,4821,12184,3027,114153,2021 4
La Rioja,180,10,5018,5437,23559,5671,43424,0,83299,2021 4
Mendoza,1560,1463,66428,30308,75214,18621,75031,3660,272285,2021 4
Misiones,510,50,41916,23554,26721,15954,54596,8335,171636,2021 4
Neuquén,1400,9400,42313,13264,10515,331,69217,7767,154207,2021 4
Río Negro,1560,1174,38373,19878,31255,413,36142,22645,151440,2021 4
Salta,1140,200,40673,69324,6642,3535,72622,6475,200611,2021 4
San Juan,440,1442,28906,10955,23978,3980,9800,4435,83936,2021 4
San Luis,620,2640,8550,4276,9107,67363,9,29218,121783,2021 4
Santa Cruz,520,2970,20305,11641,13054,177,876,4910,54453,2021 4
Santa Fe,4670,5810,169706,206856,8569,62349,322015,18777,798752,2021 4
Santiago Del Estero,1780,9090,31915,61524,12205,8000,7537,7930,139981,2021 4
Tierra Del Fuego,260,3850,13505,16534,16562,1748,1017,258,53734,2021 4
Tucumán,390,970,37321,48736,21023,5326,125857,2400,242023,2021 4
Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728,4251609,2021 3
Capital Federal,2950,6030,156978,67013,39785,73502,1075229,0,1421487,2021 3
Catamarca,710,0,6755,8428,10517,1659,26618,2206,56893,2021 3
Chaco,3010,1120,22545,20986,23852,14412,49705,7958,143588,2021 3
Chubut,1040,1050,89168,26281,18538,532,1643,14907,153159,2021 3
Córdoba,990,2452,204989,141285,6505,47198,476459,9256,889134,2021 3
Corrientes,670,6450,29629,28478,24792,9687,35468,5053,140227,2021 3
Entre Ríos,1070,3024,61354,59776,39114,16284,67961,12755,261338,2021 3
Formosa,3810,0,22778,7142,6978,1192,12707,1617,56224,2021 3
Jujuy,480,1750,23884,16417,37755,5610,29917,2401,118214,2021 3
La Pampa,2980,3130,65063,7395,8737,4023,10506,4152,105986,2021 3
La Rioja,180,10,5366,5979,23315,4868,42613,0,82331,2021 3
Mendoza,360,310,151871,1264,62628,7596,21087,500,245616,2021 3
Misiones,510,50,41932,25099,26079,14792,42291,8279,159032,2021 3
Neuquén,1120,3270,57441,8566,6234,3631,57919,5579,143760,2021 3
Río Negro,1250,5570,68991,373,1488,2282,34011,20009,133974,2021 3
Salta,1010,200,41431,70104,6962,3878,67010,6327,196922,2021 3
San Juan,180,3330,59873,7520,1325,3380,278,4641,80527,2021 3
San Luis,600,0,11552,2405,6491,67942,22,29392,118404,2021 3
Santa Cruz,500,0,30561,8365,6799,1788,678,7350,56041,2021 3
Santa Fe,4670,5790,193207,20125,83941,5508,290793,16267,620301,2021 3
Santiago Del Estero,1230,9090,32752,61838,11274,8010,6863,8980,140037,2021 3
Tierra Del Fuego,170,0,23723,13397,9782,1433,976,8950,58431,2021 3
Tucumán,320,970,39446,50293,21986,53,115154,1640,229862,2021 3
Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108,4132351,2021 2
Capital Federal,2940,6030,157558,73568,43859,86655,1037752,660,1409022,2021 2
Catamarca,710,0,7219,9091,6828,4941,25388,2206,56383,2021 2
Chaco,3010,1120,23444,21574,24032,16069,47239,7958,144446,2021 2
Chubut,1040,1050,89639,22605,16604,3896,1112,5172,141118,2021 2
Córdoba,990,2452,201757,136516,6695,70824,442357,9925,871516,2021 2
Corrientes,670,6450,29419,27037,24524,10059,32697,5053,135909,2021 2
Entre Ríos,1070,3024,63518,55349,39468,18484,61605,16077,258595,2021 2
Formosa,3810,0,22364,731,746,1341,11077,1618,41687,2021 2
Jujuy,480,1750,24182,16577,37908,6070,29950,2401,119318,2021 2
La Pampa,2980,5540,64146,7769,8128,3399,9311,4062,105335,2021 2
La Rioja,180,10,5312,5971,23298,4825,42158,190,81944,2021 2
Mendoza,360,310,137462,10886,56117,4403,20686,500,230724,2021 2
Misiones,510,50,41643,25907,25811,16172,38308,8279,156680,2021 2
Neuquén,1120,3270,57713,8631,5871,5943,54008,5645,142201,2021 2
Río Negro,1250,5570,69356,3663,15019,3867,31488,20009,150222,2021 2
Salta,1010,200,42543,67012,7099,9654,58882,6328,192728,2021 2
San Juan,180,3330,59989,7840,1255,3400,278,4641,80913,2021 2
San Luis,600,0,11752,2703,5418,65946,22,36917,123358,2021 2
Santa Cruz,500,0,30595,8463,6888,1575,676,7350,56047,2021 2
Santa Fe,4670,8960,202018,204077,80452,75195,262124,15371,852867,2021 2
Santiago Del Estero,1230,9090,32034,62224,10359,8110,6064,1566,130677,2021 2
Tierra Del Fuego,170,0,21335,6913,458,4760,889,1483,36008,2021 2
Tucumán,320,970,40224,51648,23732,5022,109616,268,231800,2021 2
Buenos Aires,36939,31187,1108368,24052,163747,222061,2246313,10867,3843534,2021 1
Capital Federal,1350,2440,159662,76753,56457,83255,1003041,1260,1384218,2021 1
Catamarca,710,0,7423,8455,10115,7120,22996,2196,59015,2021 1
Chaco,3010,1120,24357,22102,27556,14496,42462,8384,143487,2021 1
Chubut,1060,1090,86986,21401,15392,2844,1112,439,130324,2021 1
Córdoba,930,2386,211799,135092,74659,71984,402191,12677,911718,2021 1
Corrientes,670,5270,31544,26223,26169,9001,27641,5453,131971,2021 1
Entre Ríos,1050,2911,67255,5606,42432,15774,54600,12826,202454,2021 1
Formosa,560,0,22409,7569,7916,1215,9579,1942,51190,2021 1
Jujuy,490,1750,23735,17293,40649,5680,25609,2378,117584,2021 1
La Pampa,2980,5540,68200,7864,7611,2786,7368,2424,104773,2021 1
